participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
3,0.0,1.0,0.5,8,32,19.5,1,15,15.0,0,0.0,0.0,0.0
15,0.0,1.0,0.5,9,39,20.444444444444443,1,32,32.0,0,0.0,0.0,0.0
6,1.0,1.0,1.0,9,44,22.555555555555557,1,23,23.0,1,9.0,2.9580332688094813,20.802419809174673
16,1.0,1.0,1.0,7,41,25.857142857142858,0,0,0.0,0,0.0,0.0,0.0
11,1.0,1.0,1.0,8,35,15.75,0,0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,10,45,17.6,0,0,0.0,1,8.5,3.3717794892278574,18.895799353382774
25,1.0,1.0,1.0,8,32,17.125,1,155,155.0,0,0.0,0.0,0.0
7,1.0,1.0,1.0,4,87,51.5,1,26,26.0,1,7.5,6.256618686509985,8.496878914474674
11,1.0,1.0,1.0,5,41,14.0,0,0,0.0,1,9.5,2.8444772001158425,15.786415033648126
8,1.0,1.0,1.0,11,27,14.0,0,0,0.0,1,8.0,3.536575307416771,21.29096093977362
21,1.0,1.0,0.0,9,56,18.0,1,9,9.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,9,15,9.555555555555555,0,0,0.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,12,15,9.583333333333334,0,0,0.0,1,8.0,3.9708907946648218,27.442725823731628
19,1.0,1.0,1.0,6,82,28.0,0,0,0.0,1,10.0,2.9554718365547017,17.105811699877183
24,1.0,1.0,0.5,11,37,12.454545454545455,0,0,0.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,6,30,16.0,0,0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,11,40,16.09090909090909,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,6,35,20.833333333333332,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,5,58,26.2,0,0,0.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,4,87,54.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,6,55,30.666666666666668,0,0,0.0,0,0.0,0.0,0.0
5,1.0,1.0,1.0,6,95,37.5,1,113,113.0,0,0.0,0.0,0.0
7,1.0,1.0,1.0,3,129,65.66666666666667,1,19,19.0,1,8.5,6.805403100720681,10.44268709127314
17,1.0,1.0,1.0,10,31,16.7,1,15,15.0,1,8.0,4.044955737303578,23.763839503399083
15,1.0,1.0,0.5,9,35,17.555555555555557,1,43,43.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,7,56,22.714285714285715,1,16,16.0,0,0.0,0.0,0.0
4,1.0,1.0,0.5,11,36,15.181818181818182,0,0,0.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,9,29,12.88888888888889,0,0,0.0,1,8.5,5.961691976342968,35.72187808372929
3,0.0,1.0,0.5,7,29,14.714285714285714,1,13,13.0,0,0.0,0.0,0.0
1,1.0,1.0,1.0,3,43,23.666666666666668,0,0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,9,45,22.0,0,0,0.0,0,0.0,0.0,0.0
8,1.0,1.0,1.0,12,42,14.666666666666666,0,0,0.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,6,58,35.666666666666664,0,0,0.0,0,0.0,0.0,0.0
7,0.0,1.0,0.5,10,35,20.7,0,0,0.0,0,0.0,0.0,0.0
18,0.0,1.0,0.5,11,21,10.909090909090908,0,0,0.0,1,7.0,3.704785095056962,17.55995320046808
6,0.0,1.0,0.0,4,120,49.25,1,26,26.0,1,10.0,3.303576837433491,10.749616453514403
