participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
2,0.0,0.0,,6,16,11.166666666666666,1,9,9.0,0,0.0,0.0,0.0
14,0.0,0.0,,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,3,40,28.666666666666668,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,4,11,8.25,0,0,0.0,0,0.0,0.0,0.0
15,0.0,0.0,,5,32,16.2,0,0,0.0,0,0.0,0.0,0.0
19,0.0,0.0,,10,17,9.2,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,1,27,27.0,1,70,70.0,0,0.0,0.0,0.0
24,0.0,0.0,,3,25,21.0,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,1,25,25.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,5,15,9.6,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,2,24,23.0,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,3,32,23.333333333333332,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,6,39,16.333333333333332,0,0,0.0,0,0.0,0.0,0.0
21,0.0,0.0,,3,30,25.666666666666668,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,7,17,11.714285714285714,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,6,14,10.666666666666666,1,20,20.0,2,10.0,3.369609990743708,22.699652056381588
4,0.0,0.0,,4,17,9.75,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,5,29,18.8,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,15,10.5,1,30,30.0,0,0.0,0.0,0.0
22,0.0,0.0,,3,37,34.333333333333336,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,3,33,18.0,1,31,31.0,0,0.0,0.0,0.0
24,1.0,0.0,,4,34,25.0,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,7,15,10.571428571428571,1,37,37.0,0,0.0,0.0,0.0
19,0.0,0.0,,3,15,11.666666666666666,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,4,22,15.25,1,23,23.0,0,0.0,0.0,0.0
