participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
16,1.0,1.0,0.5,0.49250006675720215,0.06234931945800781,0.0010537688016481834,0.1989690363407135,0.1989690363407135,0.17101339995861053,180,0,0,0.0,2,36.5,27.528710483152576,116.23898461752238,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0.19134974479675293,74.62035799026489,-0.010552728325352702,-0.6075293172763873,-0.6075293172763873,-0.5581842163824298,118,1,32,32.0,1,10.0,0.4415571536030067,3.974014382426778,1,7.5,5.828131960499238,12.531041917748908
26,1.0,1.0,1.0,0.07524967193603516,141.72211456298828,-0.007986053560794126,-0.8835499286651611,-0.8835499286651611,-0.8713533878326416,68,0,0,0.0,1,138.0,30.120913360590077,223.20131871911784,0,0.0,0.0,0.0
5,1.0,1.0,0.5,0.9800000190734863,0.03664994239807129,0.0030541908725007,0.5497027283479393,0.5497027283479393,0.5432490072998346,128,1,67,67.0,1,16.0,9.799335004948631,21.575198193681445,0,0.0,0.0,0.0
10,1.0,1.0,1.0,0.005699872970581055,119.78680300712585,-0.005437471145457436,-1.0132536193992518,-1.0132536193992518,-0.9741049487015296,1,1,28,28.0,4,17.25,20.98673067718796,98.98046333723019,2,7.75,3.344945449993785,16.468283516943217
13,1.0,1.0,1.0,0.05190014839172363,99.65057373046875,-0.010038831981723145,-1.0818906011460703,-1.0818906011460703,-1.0153738021850587,48,1,10,10.0,3,26.333333333333332,21.53713467571389,137.99236854053868,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0.06060004234313965,125.67469191551208,-0.010074035518666853,-1.2312320541228927,-1.2312320541228927,-1.1810287077260275,15,1,30,30.0,2,8.5,13.875180958230814,75.71823649809988,2,9.25,3.0070627943130637,19.433085166733342
24,0.0,1.0,0.5,0.3279001712799072,6.045299768447876,-0.009677637115715143,-0.4366066973923631,-0.4366066973923631,-0.36836905523582736,64,1,26,26.0,1,40.0,9.476274083623874,100.34087486680903,0,0.0,0.0,0.0
16,1.0,1.0,1.0,1.0389502048492432,0.014699935913085938,0.0019143347093176042,0.7196074724197388,0.7196074724197388,0.6877134442329407,169,0,0,0.0,4,12.5,24.66040907504592,106.20011725869797,0,0.0,0.0,0.0
2,0.0,1.0,0.5,0.6752499341964722,4.664748787879944,0.0038103355741317484,0.25693662282283797,0.25693662282283797,0.2553643393516541,214,1,21,21.0,2,10.5,12.725346512580296,68.08617810984632,1,7.5,2.9035749799180257,16.286342437430168
23,1.0,1.0,1.0,0.0,6.319700002670288,-0.013380063023141335,-2.238654964835332,-2.238654964835332,-2.0800859453407585,0,1,47,47.0,5,24.8,13.32797183095173,154.01273238321227,0,0.0,0.0,0.0
9,0.0,1.0,0.5,0.15465021133422852,270.52786511182785,-0.0035233689324105522,-1.7973979221114629,-1.7973979221114629,-1.7419021822528384,1,1,17,17.0,3,11.0,14.432214104226347,95.03933455175815,1,7.0,4.361183130175707,17.778558533684475
6,1.0,1.0,1.0,0.0881500244140625,110.76864910125732,-0.0058805545227698435,-1.1589575729289638,-1.1589575729289638,-1.133461322784424,12,1,19,19.0,3,29.666666666666668,28.771307664783407,198.6713378784997,0,0.0,0.0,0.0
