participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
25,0.0,0.0,,0.1617499589920044,25.21285452481974,0.0009068768366878679,-0.06768854025031339,-0.06768854025031339,-0.07069703561166941,346,13,36,15.153846153846153,6,21.666666666666668,3.23638130954113,27.821015444003436,0,0.0,0.0,0.0
19,0.0,0.0,,0.42443836652315525,80.96816110610962,-0.005113459445676829,-0.35654307446893857,-0.35654307446893857,-0.34292222880542533,32,9,63,24.88888888888889,5,24.0,17.26204329921244,124.93100187037376,2,8.25,3.411943296639702,20.824978803018855
3,0.0,0.0,,0.3147001266479492,9.776865482330319,0.00023822508236850747,0.0389675980522519,0.0389675980522519,0.04005995626034946,144,18,48,16.22222222222222,4,8.5,22.664156370219935,121.06289567316857,1,8.0,3.1299262371675636,15.475253290042025
13,0.0,0.0,,0.40329980850219727,0.40869114170335674,-0.0008143080092182898,0.00349001373563494,0.00349001373563494,0.016059191681443853,352,10,38,24.4,5,17.2,10.585945996090263,51.2862544295509,0,0.0,0.0,0.0
14,0.0,0.0,,0.0,87.97247755527495,-0.0018034498318720473,-0.6989893041738943,-0.6989893041738943,-0.6845551461570348,0,12,65,16.916666666666668,3,44.0,26.072753758486716,161.1783489522843,1,7.5,9.25896316858049,10.231483032142938
18,1.0,0.0,,1.0404000282287598,8.447599649429321,-0.00140847489452616,0.09769874360381055,0.09769874360381055,0.08498696658922278,135,9,41,15.88888888888889,5,40.8,33.38010286239376,286.11864807284337,0,0.0,0.0,0.0
24,0.0,0.0,,0.28431246110371156,6.054453730583191,0.00015506343359320132,0.017922019424224764,0.017922019424224764,0.02358174075251038,189,16,27,13.5,7,14.857142857142858,21.326215218718037,132.44958406416805,0,0.0,0.0,0.0
7,0.0,0.0,,0.8486499786376953,0.7468001842498779,6.970403086970823e-05,0.3341890449951343,0.3341890449951343,0.3155565450124449,294,9,82,31.11111111111111,4,15.25,9.867053577394206,53.047006447168776,1,9.0,4.0158585503654205,20.630492197951003
12,1.0,0.0,,0.5047000646591187,4.594550013542175,-0.0007663015267825849,0.07571048863461706,0.07571048863461706,0.052207747718248126,215,14,47,19.0,3,16.0,25.557959132841955,119.8114827141971,1,8.5,2.7158198082012595,14.174001384487205
4,0.0,0.0,,0.5895500183105469,75.49777304848959,-0.0014368947788962892,-0.10435941573284588,-0.10435941573284588,-0.0718569387729055,201,13,63,19.692307692307693,6,13.666666666666666,11.006278264034577,72.3020093854356,0,0.0,0.0,0.0
8,1.0,0.0,,0.6426000595092773,2.9230726361274715,-0.00021631626380734636,0.11733054764130536,0.11733054764130536,0.11329971505520818,351,18,18,10.777777777777779,6,20.666666666666668,25.719066894132823,138.31315428769997,0,0.0,0.0,0.0
9,1.0,0.0,,0.3403499126434326,10.120795726776123,-0.0007518453087739854,0.012316385237108759,0.012316385237108759,0.0118335018987241,163,15,45,18.2,5,11.6,10.433303746689855,31.218731615346957,0,0.0,0.0,0.0
15,1.0,0.0,,0.13570022583007812,279.02020448446274,0.00131876496946137,-1.048566240389474,-1.048566240389474,-1.0329584525608868,6,15,28,14.2,8,15.125,17.877751743939413,94.89667675626868,0,0.0,0.0,0.0
26,0.0,0.0,,0.08340001106262207,32.43200200796127,-0.0018401967947605823,-0.2950680876980309,-0.2950680876980309,-0.28662976011726427,11,16,36,17.4375,3,14.333333333333334,16.603406521744333,104.55547263384072,1,8.0,3.414572348788866,15.247644947870276
16,1.0,0.0,,0.8220500946044922,5.342049837112427,0.0011130484645932557,0.28013539047134356,0.28013539047134356,0.28590230838112207,201,12,44,18.0,6,20.5,35.49112100559597,160.70883413956616,0,0.0,0.0,0.0
22,0.0,0.0,,0.6730003356933594,1.332148790359497,0.0020533589202433927,0.3070645034313202,0.3070645034313202,0.309932678937912,316,13,45,21.307692307692307,1,57.0,9.984875946868378,42.46554726039918,0,0.0,0.0,0.0
26,0.0,0.0,,0.45960044860839844,36.81846356391907,0.0010186583296949792,-0.09448257088661194,-0.09448257088661194,-0.09515853226184845,350,17,24,14.411764705882353,2,38.5,33.48195399861972,164.76627731284398,0,0.0,0.0,0.0
7,0.0,0.0,,0.11805009841918945,25.15799331665039,4.392415458583695e-05,-0.06673289090394974,-0.06673289090394974,-0.07495863735675812,152,10,56,31.1,2,13.5,28.098310566000755,148.29833385383938,0,0.0,0.0,0.0
