participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
14,0.0,0.0,,13,103,22.923076923076923,1,28.0,22.53682786834066,159.60753138613376
6,0.0,0.0,,14,28,16.928571428571427,5,18.0,10.911646867819114,78.57346492800343
23,0.0,0.0,,3,151,116.0,0,0.0,0.0,0.0
4,0.0,0.0,,16,26,14.8125,7,13.571428571428571,16.67822307177711,77.41146227260698
1,1.0,0.0,,15,49,18.2,7,8.571428571428571,7.540729448216772,38.308824623731674
13,1.0,0.0,,11,36,18.818181818181817,4,33.5,19.173306870076775,145.42078817150275
19,0.0,0.0,,18,34,12.5,3,34.0,24.010581803422934,228.63683372289367
22,0.0,0.0,,8,134,35.0,1,59.0,15.768817157755675,104.57489446087418
24,1.0,0.0,,14,35,19.285714285714285,5,13.8,21.52433271557651,121.20877525266098
22,0.0,0.0,,11,58,28.90909090909091,1,21.0,20.732181070252672,49.29848103423549
17,1.0,0.0,,8,63,36.375,3,17.333333333333332,22.92505792160257,100.94394140819158
14,0.0,0.0,,9,60,30.0,4,16.25,0.9684593056697577,9.412578950546088
15,1.0,0.0,,14,36,16.071428571428573,6,14.666666666666666,23.84168898097028,106.1021116660849
21,0.0,0.0,,10,54,32.5,0,0.0,0.0,0.0
6,0.0,0.0,,15,39,15.666666666666666,4,23.75,13.606840846264074,160.97028808662827
24,0.0,0.0,,18,42,13.722222222222221,8,10.5,17.323857261313066,91.01502014442516
4,0.0,0.0,,15,67,15.0,6,17.833333333333332,21.618266497743107,90.68961878061522
23,0.0,0.0,,11,44,19.0,6,21.833333333333332,19.558876770078754,97.18760346210998
7,0.0,0.0,,9,81,28.22222222222222,4,20.75,14.311431307745318,61.07904091065507
6,0.0,0.0,,8,141,33.125,5,15.6,28.189071982388107,151.62876789715486
18,1.0,0.0,,12,26,12.416666666666666,7,26.857142857142858,29.45833516249242,216.95911780555682
25,0.0,0.0,,10,34,16.5,3,56.333333333333336,34.42564141080204,267.3880236824559
23,0.0,0.0,,9,131,24.555555555555557,4,30.0,24.87011761847968,151.00521865375447
24,1.0,0.0,,17,35,17.352941176470587,2,16.5,27.81610135099976,135.34579972028408
26,0.0,0.0,,12,36,14.916666666666666,3,50.333333333333336,21.076075123321996,137.9840810249141
24,1.0,0.0,,10,65,28.5,2,25.0,13.429098446172043,44.79130942964074
14,0.0,0.0,,10,94,30.6,2,15.5,14.858285611421401,70.83773023768336
22,0.0,0.0,,14,59,20.0,2,26.5,16.914841676470743,105.22759631522476
4,0.0,0.0,,14,37,12.714285714285714,5,31.0,26.99156699127143,151.5516233677657
23,0.0,0.0,,10,95,22.4,6,19.833333333333332,22.801647558160028,140.32327247321155
6,0.0,0.0,,11,59,20.818181818181817,5,23.2,18.613488346264138,103.94570013037522
24,1.0,0.0,,14,45,19.142857142857142,4,15.75,26.6799999582826,150.6336975444172
19,1.0,0.0,,9,26,14.444444444444445,6,36.166666666666664,22.746583449084046,219.9511426136152
14,0.0,0.0,,14,81,21.285714285714285,1,28.0,22.53682786834066,159.60753138613376
1,1.0,0.0,,11,83,21.545454545454547,5,18.8,16.192333406328387,78.06625487225173
9,1.0,0.0,,8,55,27.125,4,31.75,7.007656309153412,25.102734406288185
7,1.0,0.0,,7,85,35.0,2,41.5,0.749352533947911,4.553944178709909
