participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
12,1.0,1.0,1.0,7,78,42.0
8,1.0,1.0,1.0,10,141,30.3
3,0.0,1.0,0.5,11,99,26.727272727272727
6,0.0,1.0,0.0,7,121,45.285714285714285
14,1.0,1.0,1.0,14,43,16.428571428571427
14,1.0,1.0,0.5,13,52,15.76923076923077
24,1.0,1.0,0.5,15,51,17.6
3,1.0,1.0,1.0,14,39,17.0
13,1.0,1.0,1.0,12,50,17.833333333333332
18,1.0,1.0,1.0,13,70,15.0
21,0.0,1.0,0.5,17,43,14.470588235294118
1,1.0,1.0,1.0,11,58,21.454545454545453
4,1.0,1.0,1.0,10,171,27.7
6,0.0,1.0,0.5,3,242,99.0
1,1.0,1.0,1.0,7,52,30.0
13,1.0,1.0,1.0,12,34,22.5
16,1.0,1.0,1.0,11,47,18.636363636363637
14,0.0,1.0,0.5,13,64,23.384615384615383
21,1.0,1.0,1.0,11,65,27.727272727272727
18,1.0,1.0,0.0,13,44,19.307692307692307
3,0.0,1.0,0.5,17,31,14.058823529411764
7,1.0,1.0,1.0,4,133,71.0
12,0.0,1.0,0.5,15,63,21.0
5,1.0,1.0,0.0,11,50,24.0
3,1.0,1.0,0.5,11,55,25.09090909090909
24,1.0,1.0,1.0,17,40,17.529411764705884
14,1.0,1.0,1.0,6,105,51.833333333333336
22,1.0,1.0,1.0,14,36,13.714285714285714
1,1.0,1.0,1.0,14,34,17.857142857142858
24,1.0,1.0,0.5,16,39,16.875
2,1.0,1.0,1.0,12,26,12.583333333333334
4,1.0,1.0,1.0,14,83,17.214285714285715
13,1.0,1.0,1.0,12,29,17.0
21,1.0,1.0,0.0,5,66,53.0
23,1.0,1.0,0.5,12,67,22.166666666666668
26,1.0,1.0,1.0,8,94,30.5
26,1.0,1.0,1.0,11,104,27.181818181818183
21,0.0,1.0,1.0,13,28,15.076923076923077
23,0.0,1.0,0.5,9,27,15.555555555555555
6,0.0,1.0,0.5,17,47,15.705882352941176
6,1.0,1.0,1.0,6,154,52.5
3,1.0,1.0,1.0,13,63,23.615384615384617
24,0.0,1.0,0.5,14,29,13.571428571428571
23,0.0,1.0,0.5,13,53,13.461538461538462
3,0.0,1.0,0.5,12,46,26.5
9,1.0,1.0,0.5,10,76,25.3
4,1.0,1.0,0.5,13,45,16.76923076923077
6,0.0,1.0,0.5,16,29,14.125
2,1.0,1.0,1.0,17,25,12.882352941176471
22,1.0,1.0,1.0,16,42,15.9375
15,1.0,1.0,1.0,14,31,20.571428571428573
18,1.0,1.0,1.0,8,57,28.625
26,1.0,1.0,1.0,13,73,24.615384615384617
25,1.0,1.0,1.0,12,40,22.416666666666668
23,0.0,1.0,0.5,10,25,12.3
17,0.0,1.0,0.5,12,37,18.166666666666668
5,1.0,1.0,0.5,14,31,16.285714285714285
13,1.0,1.0,1.0,9,92,29.22222222222222
1,1.0,1.0,1.0,17,28,11.294117647058824
3,1.0,1.0,1.0,13,56,23.0
4,0.0,1.0,0.5,9,16,11.11111111111111
4,0.0,1.0,0.5,15,19,9.466666666666667
23,0.0,1.0,0.0,11,59,22.0
14,0.0,1.0,0.5,7,62,42.285714285714285
1,1.0,1.0,1.0,14,43,19.0
17,0.0,1.0,0.5,15,33,15.266666666666667
19,1.0,1.0,1.0,6,179,47.5
14,1.0,1.0,0.5,18,32,17.0
23,0.0,1.0,0.5,15,43,14.333333333333334
24,1.0,1.0,1.0,10,53,24.1
23,0.0,1.0,0.5,8,85,30.125
15,1.0,1.0,0.5,12,45,22.5
25,1.0,1.0,1.0,10,51,24.7
24,1.0,1.0,0.5,13,42,24.846153846153847
18,1.0,1.0,0.0,7,40,13.571428571428571
14,0.0,1.0,0.5,20,45,13.65
17,1.0,1.0,1.0,12,121,26.0
6,1.0,1.0,0.0,12,43,18.5
14,1.0,1.0,1.0,14,45,16.5
3,1.0,1.0,1.0,13,50,23.615384615384617
1,1.0,1.0,1.0,10,57,28.3
19,1.0,1.0,1.0,14,45,16.428571428571427
6,1.0,1.0,1.0,10,44,18.2
21,1.0,1.0,1.0,5,129,45.4
25,0.0,1.0,0.5,11,38,23.90909090909091
23,1.0,1.0,0.5,10,67,17.9
17,1.0,1.0,0.5,14,72,16.785714285714285
13,0.0,1.0,0.5,11,81,23.90909090909091
21,0.0,1.0,0.5,11,47,22.363636363636363
23,0.0,1.0,0.0,9,38,15.88888888888889
15,1.0,1.0,1.0,12,42,15.916666666666666
4,1.0,1.0,1.0,13,41,13.307692307692308
8,0.0,1.0,0.0,12,37,14.666666666666666
3,1.0,1.0,0.5,8,121,38.625
4,1.0,1.0,0.5,17,25,14.823529411764707
12,1.0,1.0,1.0,11,57,29.363636363636363
13,1.0,1.0,1.0,7,191,40.142857142857146
4,1.0,1.0,0.5,10,29,13.3
9,1.0,1.0,1.0,10,81,24.8
9,0.0,1.0,0.5,7,87,41.285714285714285
21,0.0,1.0,0.0,8,46,23.125
24,0.0,1.0,0.5,6,19,10.666666666666666
22,1.0,1.0,1.0,12,87,22.333333333333332
9,0.0,1.0,0.5,13,76,22.384615384615383
25,1.0,1.0,1.0,5,159,45.4
22,1.0,1.0,1.0,10,86,32.8
23,1.0,1.0,1.0,7,74,23.428571428571427
24,0.0,1.0,0.5,19,31,12.894736842105264
19,1.0,1.0,1.0,7,109,42.42857142857143
9,1.0,1.0,1.0,10,92,31.1
3,1.0,1.0,1.0,15,53,19.4
9,0.0,1.0,0.0,9,46,22.444444444444443
3,1.0,1.0,1.0,11,70,27.90909090909091
26,0.0,1.0,0.5,24,36,11.875
8,1.0,1.0,0.5,13,86,17.615384615384617
18,1.0,1.0,1.0,10,70,23.2
24,0.0,1.0,0.5,6,71,53.666666666666664
1,1.0,1.0,0.0,9,57,21.444444444444443
4,0.0,1.0,0.5,12,28,14.333333333333334
4,0.0,1.0,0.5,12,22,12.0
19,1.0,1.0,1.0,10,55,19.9
8,1.0,1.0,1.0,11,26,11.727272727272727
