participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
17,1.0,0.0,,0.0,179.05778241157532,-0.0016610338524215243,-1.0853581428527832,-1.0853581428527832,-1.0686365365982056,0,3,29.333333333333332,24.327878157476906,203.9882248572222
24,1.0,0.0,,0.15560007095336914,9.015553951263428,0.0004428265894311428,-0.04001690447330475,-0.04001690447330475,-0.02923666685819626,200,2,7.0,18.44838816117888,51.08573037665484
18,1.0,0.0,,0.13309991359710693,10.122098445892334,-0.0022298021272847256,-0.21781618333567043,-0.21781618333567043,-0.20990327835083006,69,2,52.0,35.42965834535262,262.69575216976716
18,1.0,0.0,,0.10290050506591797,55.35110807418823,-0.0006179744693485217,-0.33815497159957886,-0.33815497159957886,-0.33159637451171875,30,3,13.0,18.62100990044727,62.13900831845589
9,1.0,0.0,,0.46674978733062744,0.2590508460998535,0.0009428408260033252,0.2434521863229164,0.2434521863229164,0.24041652465383337,152,3,21.0,14.861539597930602,103.1800548792419
18,1.0,0.0,,1.4935500621795654,0.10849976539611816,0.0038026767154424298,0.5309504602528825,0.5309504602528825,0.47504489156934954,232,3,33.333333333333336,21.940908509109462,231.22480616036555
12,0.0,0.0,,0.4868001937866211,0.29529666900634766,-0.0008581671990632811,0.27523747086524963,0.27523747086524963,0.28043368458747864,108,3,10.666666666666666,27.039414727235172,118.57642401117509
13,0.0,0.0,,0.3148002624511719,108.39025020599365,-0.00784223625746295,-0.5204301476478577,-0.5204301476478577,-0.4900100827217102,73,2,17.0,17.59883554638418,50.55584745909081
12,1.0,0.0,,0.04470014572143555,49.2300443649292,-0.0022727144720497364,-0.5488479210354608,-0.5488479210354608,-0.47802184514510326,1,6,12.833333333333334,17.825722298580732,90.13980871711051
14,0.0,0.0,,0.2617499828338623,7.149396320236135,0.0009291407672650029,0.02045844476434249,0.02045844476434249,0.02715191117683767,204,4,20.0,4.753985422309137,22.69988846821898
26,0.0,0.0,,0.8676000833511353,0.14384330908457477,0.003233839123735571,0.4098945793220263,0.4098945793220263,0.3756522766749064,233,2,15.5,14.3136067819639,70.35430280765799
25,0.0,0.0,,0.0,58.001755118370056,-0.00013883828673935471,-0.353854680363136,-0.353854680363136,-0.33984363672638396,0,4,30.5,20.026396572531432,149.3808672791157
24,1.0,0.0,,0.14475011825561523,8.478037118911743,-0.00023702002375211503,-0.048055533319711685,-0.048055533319711685,-0.03517981991171837,236,3,15.333333333333334,32.70925387442575,166.1153997386604
1,1.0,0.0,,0.18129968643188477,3.3939038515090942,-0.00041873152723942127,-0.04451171557108561,-0.04451171557108561,-0.04039195928818143,75,5,8.8,7.746216935114122,44.160766160360936
7,1.0,0.0,,0.15925025939941406,6.172836780548096,-0.000883135902513437,-0.03783443197607994,-0.03783443197607994,-0.03489634022116661,114,4,6.75,16.249526458136298,77.1402751532435
6,0.0,0.0,,0.21679997444152832,5.098900079727173,-0.002240985338733276,-0.19899712634991995,-0.19899712634991995,-0.08218341668446859,131,3,10.666666666666666,18.15225368658894,153.75334982266867
19,1.0,0.0,,0.15495014190673828,0.12324905395507812,0.0005419935266801356,0.08871853351593018,0.08871853351593018,0.08662685006856918,148,1,236.0,5.235187759658249,20.20684614572376
15,1.0,0.0,,0.4615497589111328,3.9397003650665283,-0.001975962553189886,0.08593866974115372,0.08593866974115372,0.12486647069454193,193,2,7.5,20.378682356904626,107.08339656307571
13,1.0,0.0,,0.04760003089904785,16.013914607465267,-2.1540518705679592e-05,-0.19558292048892895,-0.19558292048892895,-0.18621568846500522,100,3,23.333333333333332,11.222159080381005,75.29786167803614
7,1.0,0.0,,0.1466503143310547,22.295918941497803,-7.069280079683935e-06,-0.10277009755373001,-0.10277009755373001,-0.11172987520694733,230,0,0.0,0.0,0.0
19,0.0,0.0,,0.540600061416626,0.49414920806884766,-0.0005774558267601311,0.15415850570936243,0.15415850570936243,0.16015864087824236,83,3,34.0,28.214014874742915,207.1699404746503
