participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration
24,0.0,0.0,,0.1461501121520996,1.59419846534729,-0.0020649128936045895,-0.023306310176849365,-0.023306310176849365,-0.03501865267753601,26,0,0,0.0
22,0.0,0.0,,0.37614965438842773,0.4130988121032715,0.0028474952414662886,0.17373129725456238,0.17373129725456238,0.17391255497932434,50,0,0,0.0
17,1.0,0.0,,0.17604970932006836,0.1602003574371338,0.0012791045203810107,0.01727595366537571,0.01727595366537571,0.0180874764919281,108,0,0,0.0
6,0.0,0.0,,0.46949994564056396,0.004650115966796875,-2.696658392964886e-05,0.30524559510059845,0.30524559510059845,0.2940456387318465,40,1,20,20.0
5,0.0,0.0,,0.5302999019622803,1.2098495960235596,0.003959408021344433,0.22528629004955292,0.22528629004955292,0.2236061990261078,97,0,0,0.0
6,0.0,0.0,,0.8161501884460449,0.0,0.006532644115770363,0.4263608753681183,0.4263608753681183,0.42560014128685,98,0,0,0.0
3,0.0,0.0,,0.2439599990844723,3.468950033187866,-0.0277478172489711,-0.7358140079384177,-0.7358140079384177,-0.7725643883360194,68,1,46,46.0
1,1.0,0.0,,0.9192001819610596,0.4657999277114868,0.0013589276762814297,0.4158347019782433,0.4158347019782433,0.4109625369310379,83,1,19,19.0
3,0.0,0.0,,0.5697500705718994,7.756394147872925,0.006904173503666444,0.0758710743015648,0.0758710743015648,0.06148836462892948,88,1,16,16.0
1,1.0,0.0,,0.1914501190185547,0.3771510124206543,0.00013256725059229954,0.04233451932668686,0.04233451932668686,0.05135607719421387,63,0,0,0.0
26,0.0,0.0,,0.2180497646331787,1.196601152420044,-0.0022001267336997305,0.0490405336022377,0.0490405336022377,0.050762444734573364,29,0,0,0.0
19,1.0,0.0,,0.5520496368408203,0.42795276641845703,0.005396992130276968,0.20882758498191833,0.20882758498191833,0.1984434723854065,102,0,0,0.0
2,1.0,0.0,,0.6200601180394489,1.1096111352627096,0.002786753279912218,0.10012272484282143,0.10012272484282143,0.1243716116134937,98,1,12,12.0
17,1.0,0.0,,0.1807999610900879,5.401045799255371,0.0007069237298772085,-0.022516172379255295,-0.022516172379255295,-0.025406181812286377,55,0,0,0.0
23,0.0,0.0,,0.3530001640319824,0.34145021438598633,0.002494213855451113,0.14551497995853424,0.14551497995853424,0.1336999535560608,62,0,0,0.0
22,0.0,0.0,,0.4291999340057373,0.0,0.0035716625095944766,0.27725669741630554,0.27725669741630554,0.2592748701572418,109,0,0,0.0
23,0.0,0.0,,0.2803499698638916,1.6793500185012817,-0.012792253968927508,-0.3220683855888171,-0.3220683855888171,-0.35926007667291227,59,1,52,52.0
7,1.0,0.0,,0.0718998908996582,0.9875016212463379,0.0005091355815184811,-0.05281594768166542,-0.05281594768166542,-0.04491269588470459,116,0,0,0.0
26,0.0,0.0,,0.008350014686584473,9.737101137638094,-0.0015955417169987204,-0.18554489887677705,-0.18554489887677705,-0.17175559302171073,6,1,29,29.0
24,0.0,0.0,,0.24831256696156068,1.8739980459213257,-0.0015825615496367384,0.04610881744286951,0.04610881744286951,0.04507881445544104,27,1,27,27.0
17,1.0,0.0,,0.12080001831054688,0.13135290145874023,0.00028754835224967674,0.04240711033344269,0.04240711033344269,0.035593628883361816,68,0,0,0.0
7,1.0,0.0,,1.13670015335083,0.100250244140625,0.009679695773466624,0.49479910731315613,0.49479910731315613,0.4745124578475952,116,0,0,0.0
13,1.0,0.0,,0.0,6.174849987030029,-0.05254885438595132,-3.078147384855483,-3.078147384855483,-2.950436391823464,0,1,115,115.0
17,1.0,0.0,,0.1425001621246338,3.9912493228912354,0.0009276190662868522,-0.03606238588690758,-0.03606238588690758,-0.019743770360946655,97,0,0,0.0
14,0.0,0.0,,0.027699947357177734,5.740750074386597,-0.052571157152587825,-2.659190699585482,-2.659190699585482,-2.591768372358766,1,1,107,107.0
1,1.0,0.0,,0.10509991645812988,6.636749982833862,-0.012401718419573837,-0.2431495546275734,-0.2431495546275734,-0.36353468232684666,42,1,5,5.0
5,0.0,0.0,,0.059350013732910156,17.46860361099243,-0.00204614408956352,-0.2303137332201004,-0.2303137332201004,-0.21422505378723145,1,0,0,0.0
6,0.0,0.0,,0.08130002021789551,11.201020956039429,0.0014077183243180148,-0.1844838990105523,-0.1844838990105523,-0.12820711284875874,102,1,14,14.0
25,0.0,0.0,,0.4971001148223877,0.08322912454605103,0.0024725820204696746,0.2591079086320013,0.2591079086320013,0.25474133990381076,102,1,23,23.0
21,0.0,0.0,,0.7346999645233154,5.364766581491991,0.009060402719867104,0.310501912720183,0.310501912720183,0.2569086409427903,91,1,23,23.0
23,0.0,0.0,,0.055750370025634766,0.5726995468139648,-0.0017043575846587412,-0.042359866201877594,-0.042359866201877594,-0.03467458486557007,19,0,0,0.0
7,0.0,0.0,,0.29654979705810547,2.650599956512451,-0.0016666231112663166,0.04299445077776909,0.04299445077776909,0.04064995050430298,116,0,0,0.0
22,0.0,0.0,,0.06019997596740723,3.1988492012023926,-0.0024139500458332562,-0.17000718707712287,-0.17000718707712287,-0.15816033052073586,6,1,26,26.0
2,0.0,0.0,,0.29820001125335693,1.8444715177311615,0.0020527928510679994,0.07267928938580374,0.07267928938580374,0.09648568402318397,75,1,33,33.0
2,1.0,0.0,,0.0,49.65353798866272,-1.9376412516158103e-05,-0.5361960530281067,-0.5361960530281067,-0.516243577003479,0,0,0,0.0
3,0.0,0.0,,0.22440004348754883,0.20929956436157227,0.0021646102312365824,0.027977214919196244,0.027977214919196244,0.025515224843744133,113,1,80,80.0
23,0.0,0.0,,0.2718501091003418,0.010300159454345703,-0.0005707143138353902,0.11644570529460907,0.11644570529460907,0.10878747701644897,15,0,0,0.0
7,0.0,0.0,,0.06565046310424805,1.9005498886108398,-0.019490428776154995,-0.8191223740577698,-0.8191223740577698,-0.8015936017036438,29,0,0,0.0
4,0.0,0.0,,0.34404993057250977,2.7474985122680664,0.003071048694240097,0.0712624192237854,0.0712624192237854,0.04021251201629639,106,0,0,0.0
