participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
3,1.0,0.0,,2,74,41.0
3,1.0,0.0,,1,13,13.0
6,0.0,0.0,,1,159,159.0
2,0.0,0.0,,1,33,33.0
12,0.0,0.0,,0,0,0.0
16,1.0,0.0,,1,5,5.0
2,1.0,0.0,,2,23,14.5
6,0.0,0.0,,1,16,16.0
13,0.0,0.0,,1,24,24.0
1,1.0,0.0,,0,0,0.0
24,1.0,0.0,,1,27,27.0
18,1.0,0.0,,0,0,0.0
13,1.0,0.0,,1,16,16.0
14,0.0,0.0,,2,34,27.5
19,1.0,0.0,,1,42,42.0
7,1.0,0.0,,0,0,0.0
14,0.0,0.0,,1,30,30.0
19,0.0,0.0,,2,25,23.0
26,0.0,0.0,,1,28,28.0
24,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,6,6.0
16,0.0,0.0,,0,0,0.0
13,1.0,0.0,,1,14,14.0
14,0.0,0.0,,1,16,16.0
3,1.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
14,0.0,0.0,,0,0,0.0
13,1.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
22,0.0,0.0,,1,38,38.0
5,0.0,0.0,,1,16,16.0
23,0.0,0.0,,1,46,46.0
2,1.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
3,0.0,0.0,,1,16,16.0
9,0.0,0.0,,1,18,18.0
14,0.0,0.0,,1,17,17.0
1,1.0,0.0,,1,14,14.0
23,0.0,0.0,,0,0,0.0
1,1.0,0.0,,0,0,0.0
21,0.0,0.0,,1,23,23.0
17,1.0,0.0,,0,0,0.0
12,0.0,0.0,,0,0,0.0
10,1.0,0.0,,0,0,0.0
3,1.0,0.0,,2,17,12.0
23,0.0,0.0,,0,0,0.0
3,0.0,0.0,,1,3,3.0
7,0.0,0.0,,0,0,0.0
13,0.0,0.0,,0,0,0.0
17,1.0,0.0,,1,22,22.0
14,0.0,0.0,,1,28,28.0
4,0.0,0.0,,0,0,0.0
14,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
14,0.0,0.0,,1,4,4.0
7,0.0,0.0,,1,29,29.0
17,1.0,0.0,,0,0,0.0
12,1.0,0.0,,1,32,32.0
22,0.0,0.0,,1,29,29.0
2,1.0,0.0,,1,23,23.0
5,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
3,0.0,0.0,,0,0,0.0
6,0.0,0.0,,1,72,72.0
14,0.0,0.0,,1,33,33.0
24,0.0,0.0,,0,0,0.0
3,1.0,0.0,,1,17,17.0
2,1.0,0.0,,0,0,0.0
19,1.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
6,0.0,0.0,,1,19,19.0
2,1.0,0.0,,1,23,23.0
14,0.0,0.0,,1,16,16.0
12,0.0,0.0,,0,0,0.0
19,1.0,0.0,,0,0,0.0
26,0.0,0.0,,0,0,0.0
3,0.0,0.0,,2,16,15.0
7,1.0,0.0,,1,143,143.0
5,0.0,0.0,,0,0,0.0
8,1.0,0.0,,0,0,0.0
18,1.0,0.0,,1,5,5.0
21,0.0,0.0,,1,28,28.0
17,1.0,0.0,,0,0,0.0
22,0.0,0.0,,1,16,16.0
4,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
23,0.0,0.0,,1,55,55.0
23,0.0,0.0,,1,47,47.0
15,1.0,0.0,,1,20,20.0
23,0.0,0.0,,0,0,0.0
5,0.0,0.0,,0,0,0.0
15,0.0,0.0,,1,45,45.0
19,1.0,0.0,,0,0,0.0
15,0.0,0.0,,1,51,51.0
22,0.0,0.0,,0,0,0.0
24,0.0,0.0,,1,27,27.0
22,0.0,0.0,,1,39,39.0
25,0.0,0.0,,0,0,0.0
24,0.0,0.0,,2,30,18.5
23,0.0,0.0,,1,47,47.0
8,1.0,0.0,,0,0,0.0
24,1.0,0.0,,1,27,27.0
9,1.0,0.0,,1,11,11.0
26,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
24,0.0,0.0,,1,21,21.0
4,0.0,0.0,,0,0,0.0
