participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
22,0.0,0.0,,9,107,36.666666666666664,1,39,39.0,1,11.0,2.0412313073561488,18.18747406571381,0,0.0,0.0,0.0
21,1.0,0.0,,12,44,17.416666666666668,1,32,32.0,3,39.666666666666664,22.130781793747115,220.6780054596114,0,0.0,0.0,0.0
5,0.0,0.0,,10,70,26.9,0,0,0.0,2,33.0,36.022804336536204,223.15244177104006,0,0.0,0.0,0.0
21,0.0,0.0,,10,54,29.9,1,24,24.0,1,24.0,2.4774639440026585,13.17632303060613,0,0.0,0.0,0.0
24,0.0,0.0,,18,31,14.5,1,7,7.0,7,9.0,17.79908782046267,84.63709083625747,1,7.0,4.08260761624911,19.07706036396269
9,1.0,0.0,,9,99,30.77777777777778,2,63,37.0,4,15.25,11.078643656632071,56.7960769740898,0,0.0,0.0,0.0
22,0.0,0.0,,13,56,23.923076923076923,0,0,0.0,2,11.5,4.357295247916715,10.51288434213384,0,0.0,0.0,0.0
21,1.0,0.0,,11,37,19.454545454545453,2,137,86.0,6,21.0,14.870503225169337,89.79786481277593,0,0.0,0.0,0.0
24,0.0,0.0,,10,114,32.9,1,2,2.0,1,11.0,32.10480921812701,207.58578280496758,2,8.75,2.6809860816074274,15.402275221974351
16,0.0,0.0,,11,38,17.636363636363637,1,36,36.0,4,37.5,20.591298100984616,147.53964145375667,0,0.0,0.0,0.0
14,0.0,0.0,,10,92,32.4,1,10,10.0,1,16.0,35.209789940489316,201.31909547465338,0,0.0,0.0,0.0
6,0.0,0.0,,12,44,23.083333333333332,1,108,108.0,4,14.75,6.7454959802366465,44.20927901683659,1,10.5,2.1895456517579683,17.156604675508984
23,0.0,0.0,,7,42,17.714285714285715,1,56,56.0,6,36.833333333333336,26.882098657435403,260.15748104384306,0,0.0,0.0,0.0
4,0.0,0.0,,16,26,12.625,0,0,0.0,6,21.5,28.243396398206343,117.809850874687,0,0.0,0.0,0.0
1,1.0,0.0,,17,59,17.352941176470587,1,18,18.0,4,9.75,9.479224327163534,46.880158202510486,1,10.0,3.0142293244898406,19.651699212562725
13,1.0,0.0,,5,131,40.6,1,14,14.0,2,72.5,16.033024821012297,103.68100571997738,0,0.0,0.0,0.0
19,0.0,0.0,,12,28,12.083333333333334,1,18,18.0,6,31.833333333333332,24.53571151964354,189.9357057302709,0,0.0,0.0,0.0
22,0.0,0.0,,18,38,16.11111111111111,1,26,26.0,6,7.0,13.139315577246313,54.0740746421905,2,8.0,3.7143526588068427,19.67916952680666
24,1.0,0.0,,14,54,20.0,0,0,0.0,2,27.5,38.85746834090588,238.72342819105995,2,8.5,4.038349226010971,22.64120291365429
22,0.0,0.0,,18,38,15.833333333333334,2,28,27.0,4,11.0,8.103829373010026,38.85756980899865,2,8.0,3.7143526588068427,19.67916952680666
17,1.0,0.0,,14,26,12.071428571428571,1,46,46.0,7,23.285714285714285,25.13732022370935,127.2213973684869,2,7.25,3.8774898241552447,20.002845988163152
14,0.0,0.0,,9,59,23.22222222222222,2,41,31.0,4,32.75,22.034133893603535,137.17717683805435,0,0.0,0.0,0.0
15,1.0,0.0,,11,49,27.0,2,58,50.0,3,8.333333333333334,8.536750822394291,46.01721023732023,0,0.0,0.0,0.0
21,0.0,0.0,,12,49,21.0,2,102,66.5,6,13.666666666666666,9.979362549881047,84.00694496316594,0,0.0,0.0,0.0
6,0.0,0.0,,10,48,30.4,1,122,122.0,3,10.666666666666666,0.3977960910828447,3.5463819464719157,0,0.0,0.0,0.0
24,0.0,0.0,,12,52,23.166666666666668,1,21,21.0,5,13.2,18.12177509909268,90.89644229569947,1,7.0,3.854977942741973,18.93082059798408
