participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
12,1.0,0.0,,0.12104988098144531,48.060142517089844,-0.008837838098524026,-0.8741984367370605,-0.8741984367370605,-0.8308811187744141,5,1,7.0,22.867377940873254,63.24537993491181,0,0.0,0.0,0.0
5,0.0,0.0,,0.37344980239868164,2.598055601119995,0.00365374541657455,0.07372891902923584,0.07372891902923584,0.06853115558624268,93,1,6.0,1.619505304538489,7.7570251466740725,0,0.0,0.0,0.0
9,0.0,0.0,,0.11925029754638672,1.763197422027588,-0.001169310081428311,-0.03892499953508377,-0.03892499953508377,-0.051687270402908325,42,1,60.0,10.620031650809505,39.77626044401481,0,0.0,0.0,0.0
21,1.0,0.0,,0.2609999179840088,39.51046085357666,-0.0006169288062912116,-0.3252437277736827,-0.3252437277736827,-0.27832111826492417,100,2,33.0,19.826007655592257,99.11471967549039,0,0.0,0.0,0.0
5,0.0,0.0,,0.07194995880126953,3.0983009338378906,-0.002291731808043339,-0.17849960923194885,-0.17849960923194885,-0.15491878986358643,3,2,10.0,43.2760283749409,199.6920680047682,0,0.0,0.0,0.0
7,0.0,0.0,,0.17460012435913086,0.05649995803833008,0.00016502519129713516,0.05699613317847252,0.05699613317847252,0.0654875636100769,17,1,32.0,29.315582185437105,158.4332186859937,0,0.0,0.0,0.0
24,0.0,0.0,,0.23735010623931885,0.7669999897480011,0.0022029552170094438,0.02561842019741352,0.02561842019741352,0.05100630223751068,114,3,7.0,7.467527906999826,30.775304654844245,1,7.0,4.08260761624911,19.07706036396269
12,1.0,0.0,,0.0979999303817749,15.19605267047882,0.0005052837792918351,-0.28404277614039236,-0.28404277614039236,-0.27898214274161565,70,3,23.333333333333332,14.789479805674588,95.67418841439415,0,0.0,0.0,0.0
3,1.0,0.0,,0.23475003242492676,0.39714980125427246,0.0017742275795115312,0.07803018582172883,0.07803018582172883,0.01720097235270912,88,2,20.0,11.747055139633758,77.2459791772421,0,0.0,0.0,0.0
15,0.0,0.0,,0.0,0.7255501747131348,-0.0028062076616766716,-0.4504792392253876,-0.4504792392253876,-0.42781883478164673,0,3,26.666666666666668,28.944648508081325,191.69687793615603,0,0.0,0.0,0.0
12,1.0,0.0,,0.43789994716644287,0.12185001373291016,0.0015601424030309442,0.14604034128352109,0.14604034128352109,0.14090926349793131,115,0,0.0,0.0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0.12155008316040039,2.1130974292755127,-0.0003305452112817195,-0.000909352907910943,-0.000909352907910943,0.0036937594413757324,17,0,0.0,0.0,0.0,0,0.0,0.0,0.0
