participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
8,1.0,1.0,0.5,12,31,13.166666666666666,0,0,0.0
24,0.0,1.0,0.5,6,41,22.5,1,17,17.0
13,0.0,1.0,0.0,8,38,15.875,1,111,111.0
4,0.0,1.0,0.5,9,24,16.333333333333332,0,0,0.0
9,0.0,1.0,0.5,11,31,17.272727272727273,1,20,20.0
22,1.0,1.0,0.5,8,44,20.125,1,22,22.0
18,1.0,1.0,1.0,6,76,33.5,0,0,0.0
8,1.0,1.0,0.0,7,21,12.714285714285714,0,0,0.0
24,0.0,1.0,0.5,7,18,10.428571428571429,1,30,30.0
1,1.0,1.0,1.0,5,48,26.2,0,0,0.0
21,1.0,1.0,0.5,6,27,15.166666666666666,0,0,0.0
12,0.0,1.0,0.5,15,21,11.933333333333334,0,0,0.0
19,1.0,1.0,1.0,3,116,72.66666666666667,0,0,0.0
15,0.0,1.0,0.5,7,34,13.857142857142858,1,12,12.0
9,0.0,1.0,0.0,13,23,13.307692307692308,0,0,0.0
7,0.0,1.0,0.5,1,74,74.0,1,23,23.0
23,1.0,1.0,1.0,4,17,13.25,0,0,0.0
16,1.0,1.0,0.0,12,27,12.583333333333334,0,0,0.0
23,0.0,1.0,0.0,11,30,12.727272727272727,1,48,48.0
17,1.0,1.0,1.0,10,34,14.1,0,0,0.0
4,1.0,1.0,0.5,8,49,16.5,1,17,17.0
4,0.0,1.0,0.5,11,30,10.363636363636363,0,0,0.0
12,1.0,1.0,1.0,6,63,34.833333333333336,0,0,0.0
8,1.0,1.0,1.0,8,51,24.5,0,0,0.0
3,0.0,1.0,0.5,9,39,20.77777777777778,0,0,0.0
6,0.0,1.0,0.0,3,121,67.66666666666667,1,18,18.0
3,1.0,1.0,1.0,9,39,15.0,1,17,17.0
13,1.0,1.0,1.0,7,31,13.142857142857142,1,24,24.0
18,1.0,1.0,1.0,11,13,9.636363636363637,0,0,0.0
21,0.0,1.0,0.5,11,19,12.363636363636363,0,0,0.0
1,1.0,1.0,1.0,5,58,30.8,1,116,116.0
4,1.0,1.0,1.0,8,83,21.375,0,0,0.0
6,0.0,1.0,0.5,3,152,69.0,0,0,0.0
1,1.0,1.0,1.0,5,42,25.6,0,0,0.0
13,1.0,1.0,1.0,9,30,20.88888888888889,0,0,0.0
16,1.0,1.0,1.0,8,47,15.375,0,0,0.0
14,1.0,1.0,1.0,5,112,38.4,0,0,0.0
14,0.0,1.0,0.5,9,46,20.11111111111111,1,18,18.0
21,1.0,1.0,1.0,6,38,30.666666666666668,0,0,0.0
18,1.0,1.0,0.0,7,44,21.571428571428573,0,0,0.0
2,0.0,1.0,0.5,7,45,16.142857142857142,2,22,16.5
3,0.0,1.0,0.5,12,24,12.166666666666666,1,18,18.0
7,1.0,1.0,1.0,3,133,63.666666666666664,2,24,22.5
12,0.0,1.0,0.5,11,60,19.0,0,0,0.0
5,1.0,1.0,0.0,7,50,24.285714285714285,0,0,0.0
13,0.0,1.0,0.5,4,16,11.0,1,29,29.0
3,1.0,1.0,0.5,8,65,22.375,1,4,4.0
24,1.0,1.0,1.0,12,32,15.5,0,0,0.0
22,1.0,1.0,1.0,9,36,14.777777777777779,1,47,47.0
1,1.0,1.0,1.0,9,34,15.333333333333334,1,9,9.0
