participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
6,0.0,0.0,,6,41,28.5,1,14,14.0
26,0.0,0.0,,8,27,14.25,0,0,0.0
7,0.0,0.0,,6,51,32.666666666666664,0,0,0.0
4,0.0,0.0,,4,32,19.0,1,88,88.0
23,0.0,0.0,,8,47,24.375,1,42,42.0
18,1.0,0.0,,13,26,10.538461538461538,1,8,8.0
6,0.0,0.0,,9,37,19.11111111111111,1,16,16.0
4,0.0,0.0,,7,20,11.714285714285714,0,0,0.0
12,1.0,0.0,,11,23,13.363636363636363,1,39,39.0
2,1.0,0.0,,8,60,19.5,1,23,23.0
13,1.0,0.0,,9,36,17.444444444444443,1,31,31.0
17,1.0,0.0,,5,32,20.0,0,0,0.0
14,0.0,0.0,,4,56,33.75,1,17,17.0
18,1.0,0.0,,7,18,11.142857142857142,1,5,5.0
14,0.0,0.0,,5,98,33.4,1,20,20.0
7,0.0,0.0,,4,87,51.5,0,0,0.0
23,0.0,0.0,,9,49,19.444444444444443,1,42,42.0
3,1.0,0.0,,12,36,17.083333333333332,0,0,0.0
18,1.0,0.0,,6,44,22.666666666666668,1,9,9.0
9,0.0,0.0,,8,37,24.5,1,23,23.0
14,0.0,0.0,,5,59,22.2,2,41,31.0
24,1.0,0.0,,10,25,17.1,0,0,0.0
17,1.0,0.0,,5,47,28.4,0,0,0.0
11,0.0,0.0,,7,41,23.285714285714285,0,0,0.0
13,1.0,0.0,,6,47,22.833333333333332,1,24,24.0
7,0.0,0.0,,4,86,46.75,0,0,0.0
3,1.0,0.0,,6,47,30.166666666666668,1,143,143.0
17,1.0,0.0,,5,47,26.4,0,0,0.0
24,0.0,0.0,,11,38,17.272727272727273,1,7,7.0
24,1.0,0.0,,10,36,17.1,0,0,0.0
24,0.0,0.0,,6,40,24.0,0,0,0.0
6,0.0,0.0,,7,44,26.0,1,16,16.0
4,0.0,0.0,,5,99,38.0,1,85,85.0
16,0.0,0.0,,3,52,23.666666666666668,0,0,0.0
5,0.0,0.0,,13,26,10.846153846153847,0,0,0.0
6,0.0,0.0,,3,39,19.0,0,0,0.0
24,0.0,0.0,,9,52,22.666666666666668,0,0,0.0
19,0.0,0.0,,4,63,44.0,2,27,26.0
21,0.0,0.0,,4,84,46.75,1,23,23.0
25,0.0,0.0,,5,57,20.8,1,19,19.0
14,0.0,0.0,,7,58,31.714285714285715,0,0,0.0
26,0.0,0.0,,11,36,16.90909090909091,1,20,20.0
3,1.0,0.0,,5,49,31.2,1,13,13.0
3,1.0,0.0,,12,33,13.083333333333334,1,17,17.0
21,0.0,0.0,,9,27,14.444444444444445,1,102,102.0
24,1.0,0.0,,10,35,18.1,0,0,0.0
22,0.0,0.0,,13,38,14.384615384615385,1,26,26.0
6,0.0,0.0,,6,39,18.0,0,0,0.0
22,0.0,0.0,,6,54,34.666666666666664,1,33,33.0
6,0.0,0.0,,6,48,32.833333333333336,1,122,122.0
9,1.0,0.0,,13,30,12.538461538461538,1,16,16.0
13,0.0,0.0,,7,58,29.571428571428573,0,0,0.0
3,1.0,0.0,,4,66,43.5,2,11,9.5
3,1.0,0.0,,5,86,38.8,1,22,22.0
6,0.0,0.0,,4,62,45.75,1,111,111.0
2,0.0,0.0,,10,22,10.2,1,27,27.0
12,0.0,0.0,,11,39,17.09090909090909,0,0,0.0
16,1.0,0.0,,5,146,46.2,0,0,0.0
2,1.0,0.0,,6,45,32.5,1,23,23.0
6,0.0,0.0,,8,40,19.25,1,16,16.0
13,0.0,0.0,,7,47,17.857142857142858,1,72,72.0
1,1.0,0.0,,10,53,16.0,1,11,11.0
24,1.0,0.0,,10,41,18.1,1,27,27.0
18,1.0,0.0,,8,26,16.125,1,17,17.0
13,1.0,0.0,,6,34,18.666666666666668,1,120,120.0
14,0.0,0.0,,6,73,37.166666666666664,0,0,0.0
19,1.0,0.0,,5,94,28.8,1,12,12.0
7,1.0,0.0,,6,127,35.833333333333336,2,31,26.5
14,0.0,0.0,,8,65,18.875,1,10,10.0
19,0.0,0.0,,6,63,26.166666666666668,1,27,27.0
26,0.0,0.0,,11,36,17.0,1,20,20.0
24,0.0,0.0,,3,101,59.333333333333336,2,34,28.0
18,1.0,0.0,,4,44,37.25,0,0,0.0
16,0.0,0.0,,7,51,20.857142857142858,1,38,38.0
13,1.0,0.0,,2,190,109.5,0,0,0.0
