participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
14,0.0,0.0,,0.35699987411499023,6.651193857192993,0.0029372007561819014,-0.016671285033226013,-0.016671285033226013,-0.0060936808586120605,92,5,29,16.6,0,0.0,0.0,0.0
14,0.0,0.0,,0.22480010986328125,9.757298827171326,-0.00017244767490519913,-0.08532263376773933,-0.08532263376773933,-0.1014708081881206,51,5,25,15.2,0,0.0,0.0,0.0
22,0.0,0.0,,0.0,17.104042768478394,-0.006270948399472575,-0.5439872741699219,-0.5439872741699219,-0.5109559297561646,0,2,35,33.5,0,0.0,0.0,0.0
15,0.0,0.0,,0.5031999349594116,4.406000018119812,-0.02203858763869318,-0.2792602706159282,-0.2792602706159282,-0.38139363209863275,86,4,30,24.0,0,0.0,0.0,0.0
24,1.0,0.0,,0.16230010986328125,0.7906494140625,-0.0022902365870888014,-0.02560928277671337,-0.02560928277671337,-0.030199885368347168,7,3,26,20.333333333333332,0,0.0,0.0,0.0
24,1.0,0.0,,0.12674999237060547,2.0244531631469727,-0.0010533228709294017,-0.024155646562576294,-0.024155646562576294,-0.0246313214302063,13,2,65,53.0,0,0.0,0.0,0.0
19,1.0,0.0,,0.8279995918273926,2.5840024948120117,0.008096583765391175,0.2479335516691208,0.2479335516691208,0.2604997754096985,113,3,18,12.666666666666666,0,0.0,0.0,0.0
17,1.0,0.0,,0.19404983520507812,0.24895191192626953,0.0005370684677183708,0.08445477485656738,0.08445477485656738,0.07864344120025635,95,3,48,32.0,1,10.5,7.91859150945475,34.11428498737356
14,0.0,0.0,,0.0,7.922502040863037,-0.0009038131271223043,-0.28400561213493347,-0.28400561213493347,-0.27300626039505005,0,2,53,40.5,0,0.0,0.0,0.0
3,1.0,0.0,,0.08950042724609375,1.251699447631836,-0.010787843055435262,-0.28284069895744324,-0.28284069895744324,-0.2898060083389282,50,3,55,35.666666666666664,0,0.0,0.0,0.0
