participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
24,0.0,1.0,0.5,0,0,0.0,1,52.0,28.671618702130154,192.85927423841585,0,0.0,0.0,0.0
23,1.0,1.0,0.5,1,62,62.0,3,32.0,28.87359573369005,168.010526407384,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,29,29.0,2,37.5,15.668967160318058,187.64877556306175,2,9.0,2.9542372695741568,20.354464553588045
4,0.0,1.0,0.5,0,0,0.0,3,24.333333333333332,20.910702673456655,138.2540677086661,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0,0.0,3,41.333333333333336,31.979971693721392,218.7294429106057,0,0.0,0.0,0.0
9,1.0,1.0,1.0,1,18,18.0,2,24.0,23.37528110967559,142.11948809290965,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,1,23.0,37.854739227188915,222.05130546013703,1,9.0,3.3103021120926854,23.670770472304113
24,1.0,1.0,1.0,0,0,0.0,1,35.0,26.39140310428118,92.4448711057029,0,0.0,0.0,0.0
17,0.0,1.0,0.5,0,0,0.0,2,8.5,2.991678379867086,16.633413749291478,3,9.0,3.4997014594019844,25.150208196723952
22,1.0,1.0,1.0,1,31,31.0,3,18.333333333333332,18.206894228130633,114.23014018326926,0,0.0,0.0,0.0
18,0.0,1.0,0.0,0,0,0.0,3,62.0,26.093336558603216,319.5263269965887,0,0.0,0.0,0.0
24,1.0,1.0,0.5,0,0,0.0,4,27.25,27.933784470182673,145.48976822927142,0,0.0,0.0,0.0
6,0.0,1.0,0.0,1,17,17.0,2,16.0,8.742844106953584,21.23585523814317,1,8.0,5.003855490416845,24.36408213376869
6,0.0,1.0,0.5,0,0,0.0,3,16.666666666666668,16.943212012395378,72.13736681285006,0,0.0,0.0,0.0
9,1.0,1.0,1.0,1,60,60.0,1,32.0,3.283877948327312,101.80021639814538,0,0.0,0.0,0.0
9,1.0,1.0,0.5,1,21,21.0,2,51.5,6.002908680165808,61.89291787626648,0,0.0,0.0,0.0
2,1.0,1.0,0.5,1,25,25.0,4,15.5,19.04746371322595,156.3400725385996,1,7.0,3.5122812729598696,17.321118183890064
21,1.0,1.0,1.0,0,0,0.0,3,25.666666666666668,17.013600552837843,105.87001885197566,0,0.0,0.0,0.0
23,0.0,1.0,0.5,1,69,69.0,3,22.666666666666668,18.736152683479826,89.36408080309508,0,0.0,0.0,0.0
7,1.0,1.0,1.0,0,0,0.0,3,12.0,10.813769550746278,35.782950454284844,0,0.0,0.0,0.0
23,1.0,1.0,0.5,0,0,0.0,1,70.0,33.318549678813476,145.76288553815198,0,0.0,0.0,0.0
23,0.0,1.0,0.0,1,51,51.0,2,14.5,3.434902737393634,18.33972967394497,0,0.0,0.0,0.0
16,1.0,1.0,1.0,1,7,7.0,2,10.5,10.322734593348041,47.26232197489277,2,8.5,2.55961016045534,16.44879876938374
24,1.0,1.0,0.5,0,0,0.0,1,40.0,32.855507588683146,169.85971419665364,0,0.0,0.0,0.0
2,0.0,1.0,0.0,1,61,61.0,3,19.333333333333332,7.046353132377015,31.78929121380088,0,0.0,0.0,0.0
17,0.0,1.0,0.5,0,0,0.0,2,25.5,20.178553963241523,94.64867133090118,0,0.0,0.0,0.0
23,1.0,1.0,1.0,1,52,52.0,4,27.25,18.418306092150743,104.93707738004751,0,0.0,0.0,0.0
14,0.0,1.0,0.5,1,48,48.0,2,19.0,4.97444677955699,89.5400420320251,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,2,10.5,27.97541425888612,139.85227131359756,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,2,31.5,24.94592941217838,137.03747838457846,0,0.0,0.0,0.0
13,1.0,1.0,1.0,1,86,86.0,2,67.0,20.157930975326252,276.7781963408836,0,0.0,0.0,0.0
4,1.0,1.0,1.0,1,28,28.0,3,19.333333333333332,9.536370589667625,94.40066013951669,0,0.0,0.0,0.0
15,1.0,1.0,0.5,1,133,133.0,4,8.25,3.4425420054676437,14.808797989455226,0,0.0,0.0,0.0
3,0.0,1.0,0.5,1,15,15.0,3,13.0,9.661126951534607,39.14404779337699,0,0.0,0.0,0.0
15,0.0,1.0,0.5,1,32,32.0,5,8.8,4.852779601190474,24.584828216163725,0,0.0,0.0,0.0
16,1.0,1.0,1.0,1,8,8.0,2,8.5,15.242193294940192,54.23323910402022,1,7.5,8.592739514452127,17.99483166233977
11,1.0,1.0,1.0,0,0,0.0,2,19.0,12.268431836095587,131.87000877723088,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0,0.0,2,7.5,29.68831085443521,83.25346361372888,1,8.5,3.3717794892278574,18.895799353382774
25,1.0,1.0,1.0,1,43,43.0,2,37.0,15.369576031085387,71.23624898160718,1,8.0,7.79791040934273,12.337162338255997
7,1.0,1.0,1.0,1,26,26.0,2,22.0,7.029894742657674,18.32766932394524,1,9.0,1.7363271801752935,9.515950472179494
7,1.0,1.0,1.0,1,21,21.0,2,12.0,6.366456256841446,17.671063229877028,1,12.5,3.1706591416290797,14.24562830043212
11,1.0,1.0,1.0,1,16,16.0,4,43.25,26.346725305687208,227.05063158663512,0,0.0,0.0,0.0
8,1.0,1.0,1.0,0,0,0.0,2,26.0,22.644461006231232,154.14906878518724,0,0.0,0.0,0.0
21,1.0,1.0,0.0,0,0,0.0,2,41.0,17.720057712391764,156.60229670599412,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0,0.0,6,16.0,17.653259094661955,85.44367322510442,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0,0.0,6,18.333333333333332,24.05417835891892,113.766867675956,1,8.0,3.9708907946648218,27.442725823731628
19,1.0,1.0,1.0,0,0,0.0,1,27.0,1.8965189122316934,14.694674231363816,2,7.25,4.663081781469684,19.34982409952835
4,0.0,1.0,0.5,0,0,0.0,1,102.0,33.728937458456805,354.3731295436876,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0,0,0.0,3,9.333333333333334,21.12885217103064,121.20776406555393,0,0.0,0.0,0.0
23,1.0,1.0,1.0,0,0,0.0,4,22.25,19.105308378588767,104.10787974015234,0,0.0,0.0,0.0
23,1.0,1.0,1.0,0,0,0.0,4,19.5,24.097606190452694,111.51518839360534,0,0.0,0.0,0.0
5,1.0,1.0,0.5,0,0,0.0,1,40.0,2.02062880452015,6.302202813175812,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,3,9.666666666666666,24.17217917313218,115.37908331504254,0,0.0,0.0,0.0
5,1.0,1.0,1.0,1,11,11.0,2,22.0,4.217679381920981,33.34577162331774,0,0.0,0.0,0.0
